,target,feature,weight
634,O,word[-3:]:rta,0.375265
635,O,+1:word.lower():jb5,0.37499
636,O,-1:word.lower():top,0.374149
637,O,word.lower():smartphone,0.373321
638,O,+1:word.lower():terbatas,0.373219
639,O,word.lower():mata,0.373165
640,O,word[-3:]:tai,0.372956
641,O,word[:3]:Asl,0.372591
642,O,-1:word.lower():alcatel,0.372178
643,O,word.lower():key/,0.371976
644,O,word[-3:]:ey/,0.371976
645,O,word.lower():dll,0.370448
646,O,-1:word.lower():domino,0.370413
647,O,+1:word.lower():dan,0.370403
648,O,word.lower():bebas,0.369701
649,O,word[-3:]:DED,0.369681
650,O,word.lower():bunga,0.368926
651,O,word[:3]:Pen,0.368297
652,O,word[-3:]:Set,0.368244
653,O,word[-3:]:EAL,0.368148
654,O,word[:3]:Pri,0.367828
655,O,+1:word.lower():gift,0.367648
656,O,word.lower():in,0.367583
657,O,-1:word.lower():sprei,0.367562
658,O,word[-3:]:2,0.367335
659,O,word.lower():2,0.367335
660,O,word[:3]:2,0.367335
661,O,word[:3]:Ban,0.367245
662,O,-1:word.lower():food,0.367165
663,O,word[:3]:Ras,0.367119
664,O,word.lower():rasa,0.367119
665,O,-1:word.lower():girls,0.367046
666,O,word[:3]:Eks,0.366936
667,O,word[:3]:PAL,0.366829
668,O,-1:word.lower():up,0.366795
669,O,word[:3]:SAL,0.366762
670,O,+1:word.lower():zoom,0.366603
671,O,+1:word.lower():deshedding,0.36654
672,O,word.lower():furminator,0.36654
673,O,word[-3:]:ng),0.365576
674,O,word.lower():band,0.365543
675,O,-1:word.lower():headset,0.365389
676,O,word[:3]:Typ,0.365155
677,O,-1:word.lower():slicer,0.365137
678,O,+1:word.lower():karbu,0.36489
679,O,word[:3]:WAT,0.364742
680,O,word.lower():deshedding,0.363771
681,O,-1:word.lower():furminator,0.363771
682,O,-1:word.lower():kepala,0.363763
683,O,word.lower():travel,0.363753
684,O,+1:word.lower():xiaomi,0.363022
685,O,word.lower():lamb,0.362938
686,O,word[-3:]:amb,0.362938
687,O,word[-3:]:ilm,0.362649
688,O,word.lower():club,0.362128
689,O,+1:word.lower():juventus,0.362128
690,O,+1:word.lower():mio,0.36209
691,O,word[:3]:900,0.362084
692,O,word[-3:]:tok,0.362022
693,O,word.lower():setiker,0.361702
694,O,word.lower():joker,0.361567
695,O,+1:word.lower():student,0.361567
696,O,-1:word.lower():multifungsi,0.360933
697,O,word[:3]:isi,0.360746
698,O,-1:word.lower():dinding,0.360699
699,O,-1:word.lower():mifi,0.360455
700,O,-1:word.lower():ppr,0.360197
701,O,+1:word.lower():4pc,0.36016
702,O,-1:word.lower():fossil,0.360053
703,O,-1:word.lower():kode:,0.359799
704,O,-1:word.lower():jigsaw,0.359544
705,O,-1:word.lower():naraya,0.359206
706,O,+1:word.lower():face,0.35853
707,O,word[-3:]:rid,0.35809
708,O,-1:word.lower():rasa,0.357335
709,O,+1:word.lower():captain,0.357216
710,O,word.lower():classifiers,0.357069
711,O,word[-3:]:UST,0.357043
712,O,word[:3]:Fil,0.356719
713,O,-1:word.lower():super,0.356633
714,O,+1:word.lower():case,0.356393
715,O,word[-3:]:het,0.356128
716,O,word[:3]:Sac,0.356128
717,O,word.lower():material,0.356073
718,O,word[:3]:Pol,0.355936
719,O,word[-3:]:NUS,0.355742
